Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,134,0,1866
2,92,0,1774
3,42,0,1732
4,110,0,1622
5,166,0,1456
6,152,0,1304
7,0,696,2000
8,185,0,1815
9,129,0,1686
10,136,0,1550
11,177,0,1373
12,183,0,1190
13,100,0,1090
14,0,910,2000
15,185,0,1815
16,174,0,1641
17,111,0,1530
18,188,0,1342
19,83,0,1259
20,64,0,1195
21,0,805,2000
22,131,0,1869
23,115,0,1754
24,86,0,1668
25,26,0,1642
26,56,0,1586
27,182,0,1404
28,0,596,2000
29,65,0,1935
30,125,0,1810
31,168,0,1642
32,103,0,1539
33,75,0,1464
34,142,0,1322
35,0,678,2000
36,126,0,1874
37,147,0,1727
38,114,0,1613
39,31,0,1582
40,200,0,1382
41,90,0,1292
42,0,708,2000
43,34,0,1966
44,156,0,1810
45,22,0,1788
46,127,0,1661
47,134,0,1527
48,191,0,1336
49,0,664,2000
